Date Added	Folder	Title	Content
2019-04-08 11:54:15 -0700	Quotes	A law against private jets	<p>If I were queen of the world, I would pass a law against private jets, because they enable you to get around a certain reality. You don&#8217;t have to go through an airport terminal, you don&#8217;t have to interact, you don&#8217;t have to be patient, you don&#8217;t have to be uncomfortable. These are the things that remind us we&#8217;re human. </p>
2018-10-26 10:24:46 -0700	Quotes	The better angels of our nature	<p>We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection. The mystic chords of memory, stretching from every battlefield and patriot grave to every living heart and hearthstone all over this broad land, will yet swell the chorus of the Union when again touched, as surely they will be, by the better angels of our nature. </p>
2018-07-09 11:46:07 -0700	Quotes	The legitimate object of government	<p>The legitimate object of government, is to do for a community of people, whatever they need to have done, but can not do, at all, or can not, so well do, for themselves &#8211; in their separate, and individual capacities. In all that the people can individually do as well for themselves, government ought not to interfere. The desirable things which the individuals of a people can not do, or can not well do, for themselves, fall into two classes: those which have relation to wrongs, and those which have not. Each of these branch off into an infinite variety of subdivisions. The first &#8211; that in relation to wrongs &#8211; embraces all crimes, misdemeanors, and nonperformance of contracts. The other embraces all which, in its nature, and without wrong, requires combined action, as public roads and highways, public schools, charities, pauperism, orphanage, estates of the deceased, and the machinery of government itself. From this it appears that if all men were just, there still would be some, though not so much, need for government. </p>
2018-05-27 07:35:51 -0700	Quotes	Discoveries and Inventions	<p>Beavers build houses; but they build them in nowise differently, or better, now than they did five thousand years ago&#8230;. Man is not the only animal who labors; but he is the only one who improves his workmanship. These improvements he effects by Discoveries and Inventions. </p>
2011-12-03 08:28:38 -0800	Quotes	Labor is the Superior of Capital	<p>Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital, and deserves much the higher consideration. </p>
2018-04-24 08:44:31 -0700	Quotes	The best way to predict the future is to invent it	<p>Don&#8217;t worry about what anybody else is going to do&#8230;. The best way to predict the future is to invent it. Really smart people with reasonable funding can do just about anything that doesn&#8217;t violate too many of Newton’s Laws. </p>
2022-06-18 12:21:27 -0700	Quotes	Simple things should be simple, complex things should be possible	<p>Simple things should be simple, complex things should be possible. </p>
2018-04-09 16:34:57 -0700	Quotes	We are idealists and we are realists	<p>We are idealists and we are realists. We are dreamers and we are builders. We are experiencers and we are experimenters. We long for certainties, yet we ourselves are full of the ambiguities of the Mona Lisa and the I Ching. We ourselves are a part of the yin-yang of the world. </p>
2008-08-05 16:02:04 -0700	Quotes	An Invincible Summer	<p>In the depths of winter, I finally learned that within me there lay an invincible summer. </p>
2019-06-10 07:27:03 -0700	Quotes	The evil in the world comes almost always from ignorance	<p>The evil in the world comes almost always from ignorance, and goodwill can cause as much damage as ill-will if it is not enlightened&#8230;. There is no true goodness or fine love without the greatest possible degree of clear-sightedness. </p>
